"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 17 09:41:05 CST 2021","Tue Aug 17 09:41:05 CST 2021","99","meiziku","test_accesskey","","","","获取appkey-不传参数","不传参数"
"skipped","Tue Aug 17 09:41:04 CST 2021","Tue Aug 17 09:41:04 CST 2021","79","login","test_login","","","","登录接口--错误的用户名、密码","传入错误的用户名、密码"
"skipped","Tue Aug 17 09:41:05 CST 2021","Tue Aug 17 09:41:05 CST 2021","23","login","test_login","","","","登录接口--用户名、密码为空","用户名、密码为空"
"passed","Tue Aug 17 09:41:12 CST 2021","Tue Aug 17 09:41:12 CST 2021","56","meiziku","test_selfvideo","","","","获取影片标准主M3U8-传入不存在的影片id","传入不存在的影片id"
"passed","Tue Aug 17 09:41:08 CST 2021","Tue Aug 17 09:41:08 CST 2021","55","meiziku","test_selfvideo","","","","编辑影片详情-编辑视频类型为2D","传入参数id,videoFormatKey"
"skipped","Tue Aug 17 09:41:08 CST 2021","Tue Aug 17 09:41:08 CST 2021","57","meiziku","test_selfvideo","","","","编辑影片详情-播放格式传参为字符串","传入参数id,playerFormatKey,playerFormatKey为字符串"
"skipped","Tue Aug 17 09:41:06 CST 2021","Tue Aug 17 09:41:06 CST 2021","25","meiziku","test_fourkgarden","","","","4k花园同步记录-传入参数page,size、内容都为空","传入参数page,size"
"skipped","Tue Aug 17 09:41:05 CST 2021","Tue Aug 17 09:41:05 CST 2021","35","login","test_login","","","","登录接口--错误的用户名、正确的密码","传入错误的用户名、正确的密码"
"skipped","Tue Aug 17 09:41:06 CST 2021","Tue Aug 17 09:41:06 CST 2021","53","meiziku","test_accesskey","","","","删除appkey-传入参数id,参数值为空","传入参数id,参数值为空"
"passed","Tue Aug 17 09:41:10 CST 2021","Tue Aug 17 09:41:10 CST 2021","43","meiziku","test_selfvideo","","","","执行阿里云MPS转码切片-传入参数id，参数的值正确","传入参数id，参数的值正确"
"passed","Tue Aug 17 09:41:08 CST 2021","Tue Aug 17 09:41:08 CST 2021","62","meiziku","test_selfvideo","","","","编辑影片详情-播放格式为1","传入参数id,playerFormatKey,playerFormatKey=1"
"passed","Tue Aug 17 09:41:09 CST 2021","Tue Aug 17 09:41:09 CST 2021","37","meiziku","test_selfvideo","","","","编辑影片详情-编辑年代","传入参数id,years"
"passed","Tue Aug 17 09:41:07 CST 2021","Tue Aug 17 09:41:07 CST 2021","78","meiziku","test_selfvideo","","","","获取job列表-分页","传入参数page,size,q 参数值正确"
"passed","Tue Aug 17 09:41:05 CST 2021","Tue Aug 17 09:41:05 CST 2021","157","meiziku","test_accesskey","","","","获取appkey-传入参数q,参数值为空","传入参数q,参数值为空"
"passed","Tue Aug 17 09:41:09 CST 2021","Tue Aug 17 09:41:09 CST 2021","190","meiziku","test_selfvideo","","","","获取自有原片列表-分页-传入参数page,size,q q的值为空","传入参数page,size,q q的值为空"
"passed","Tue Aug 17 09:41:11 CST 2021","Tue Aug 17 09:41:11 CST 2021","25","meiziku","test_selfvideo","","","","从阿里云同步切片模板","不传参数"
"passed","Tue Aug 17 09:41:07 CST 2021","Tue Aug 17 09:41:07 CST 2021","94","meiziku","test_fourkgarden","","","","获取4K花园影片列表-分页-不传参数","不传参数"
